                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.0143,                 1.1128,                0.84137,                 1.3902,                0.61042,                      1,                0.97875,                0.73095,                0.61042,                      1,                0.97875,                0.51697,                0.71151,                0.86572,                 0.6737,                 1.0946,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.0772,                 1.5729,                 1.1215,                 1.4944,                0.62045,                      1,                0.98063,                0.74123,                0.62045,                      1,                0.98063,                0.52148,                0.67189,                0.82547,                 0.6489,                 1.0628,             0.00036324,             0.00036324,             0.00036324
                     82,                0.85977,                0.86172,                0.81954,                 1.2954,                0.93711,                    0.5,                0.96922,                 0.7276,                0.93711,                    0.5,                0.96922,                0.50118,                0.68779,                 0.8604,                 1.1806,                 1.0649,             0.00034674,             0.00034674,             0.00034674
                     83,                0.92339,                 0.9887,                0.84303,                 1.3726,                  0.939,                    0.5,                 0.5541,                0.42751,                  0.939,                    0.5,                 0.5541,                0.41042,                0.74373,                0.85813,                 1.1738,                 1.1001,             0.00033023,             0.00033023,             0.00033023
                     84,                0.92872,                  1.063,                0.87975,                 1.3778,                0.93906,                    0.5,                0.71906,                 0.5551,                0.93906,                    0.5,                0.71906,                0.45863,                0.71136,                0.91933,                0.99475,                 1.0731,             0.00031373,             0.00031373,             0.00031373
                     85,                0.85626,                0.92988,                0.82817,                 1.2909,                 0.5507,                 0.7154,                0.73104,                0.56771,                 0.5507,                 0.7154,                0.73104,                0.47071,                0.72118,                0.93748,                0.68239,                 1.0643,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.0302,                0.97092,                0.86531,                 1.3641,                0.62602,                0.89591,                   0.73,                 0.5699,                0.62602,                0.89591,                   0.73,                0.47159,                0.67202,                 0.9512,                0.68029,                 1.0531,             0.00028072,             0.00028072,             0.00028072
                     87,                0.95994,                 1.0007,                0.89957,                 1.3895,                0.43002,                    0.5,                0.64813,                0.49569,                0.43002,                    0.5,                0.64813,                0.44024,                0.65295,                0.94302,                 0.7002,                 1.0633,             0.00026422,             0.00026422,             0.00026422
                     88,                0.89666,                0.95768,                0.82782,                 1.3765,                0.63401,                      1,                0.73375,                0.54099,                0.97511,                    0.5,                  0.485,                0.43237,                0.68644,                0.89275,                0.75937,                 1.1099,             0.00024772,             0.00024772,             0.00024772
                     89,                0.83037,                0.98993,                0.84118,                 1.3009,                0.65494,                      1,                0.73458,                0.52817,                0.97737,                    0.5,                0.58533,                0.43862,                0.71885,                 0.9221,                0.75362,                 1.1199,             0.00023121,             0.00023121,             0.00023121
                     90,                 0.8359,                0.79636,                0.79152,                 1.2831,                0.59724,                      1,                0.73458,                0.57318,                0.44293,                    0.5,                0.56875,                0.44257,                0.67528,                0.88113,                0.70076,                 1.0982,             0.00021471,             0.00021471,             0.00021471
                     91,                0.81935,                0.74169,                 1.1557,                  1.291,                0.63944,                      1,                0.73646,                 0.5795,                0.97682,                    0.5,                0.48771,                0.43007,                0.64512,                0.86393,                0.69118,                 1.0795,             0.00019821,             0.00019821,             0.00019821
                     92,                0.79115,                0.70743,                0.96474,                 1.2667,                0.64139,                      1,                0.73646,                0.58437,                0.97697,                    0.5,                0.48771,                0.42707,                0.65981,                0.92845,                0.73795,                 1.0711,              0.0001817,              0.0001817,              0.0001817
                     93,                 0.7527,                0.66047,                0.87537,                  1.203,                0.60199,                      1,                0.73813,                0.56549,                0.97714,                    0.5,                0.48938,                0.43669,                0.72084,                0.92269,                 0.8071,                 1.0855,              0.0001652,              0.0001652,              0.0001652
                     94,                0.70669,                0.70163,                0.82335,                 1.1482,                0.59156,                      1,                0.73813,                0.57369,                0.59156,                      1,                0.73813,                0.46566,                0.79153,                0.89548,                0.93849,                 1.1139,              0.0001487,              0.0001487,              0.0001487
                     95,                0.86592,                0.77879,                0.94984,                 1.3571,                0.57311,                      1,                0.98688,                0.72837,                0.57311,                      1,                0.98688,                0.48586,                0.75886,                0.86171,                0.99157,                 1.0999,             0.00013219,             0.00013219,             0.00013219
                     96,                0.75396,                0.77408,                0.90542,                 1.1778,                0.55959,                      1,                 0.7351,                0.57479,                0.55959,                      1,                 0.7351,                0.47623,                0.69862,                0.86096,                 1.0246,                 1.0835,             0.00011569,             0.00011569,             0.00011569
                     97,                0.74413,                0.64836,                 1.0265,                 1.1861,                0.54853,                      1,                0.73542,                0.57741,                0.54853,                      1,                0.73542,                0.47453,                0.67904,                0.85569,                 0.9576,                 1.0708,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.78824,                0.66949,                  0.874,                 1.1648,                0.60391,                      1,                0.98521,                0.75841,                0.60391,                      1,                0.98521,                0.52601,                0.64594,                0.85003,                0.83069,                 1.0433,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.77446,                  0.635,                0.85742,                 1.2787,                0.67137,                      1,                0.98521,                 0.7613,                0.67137,                      1,                0.98521,                0.53084,                0.61904,                0.85074,                0.78456,                 1.0255,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.63682,                0.63421,                0.80668,                 1.1314,                0.68475,                      1,                0.98604,                0.76749,                0.68475,                      1,                0.98604,                0.53781,                0.59723,                0.83436,                0.72165,                  1.005,             4.9677e-05,             4.9677e-05,             4.9677e-05
